Usuario_Id,Edad,Genero
7166,42,M
4725,26,M
7672,45,M
564,21,M
13134,24,F
11575,25,M
16571,31,F
2530,34,M
1444,35,M
15573,53,M
2156,37,M
12725,50,M
13200,31,M
10343,35,M
12023,51,M
13024,35,M
15350,28,M
14655,25,M
11702,46,M
14473,32,M
2500,27,M
14705,27,F
14264,30,M
17253,44,M
2522,26,M
4430,44,M
4425,38,F
13153,33,M
14512,20,M
16057,19,M
5010,22,M
6207,42,M
20403,53,M
17322,26,M
12656,24,F
5514,44,M
21021,45,M
7353,27,M
11564,46,M
12626,43,M
7337,32,M
10346,22,F
4147,31,M
11751,25,M
4771,35,M
3773,36,M
17017,41,M
20177,37,M
1240,30,F
5310,55,M
1700,26,M
5164,28,M
2027,25,M
4160,19,F
15455,40,M
16514,38,M
1372,22,M
1403,58,F
15703,57,M
2423,33,M
20174,20,F
3413,28,M
16726,35,M
666,25,F
10577,27,M
1570,21,F
4700,50,M
10616,24,M
12130,40,M
5577,31,M
10472,19,M
15436,26,M
3402,30,F
1675,25,F
212,25,M
3564,27,M
17674,32,M
17556,47,M
1455,25,F
6432,20,F
13712,18,M
15075,45,M
13632,55,M
4540,27,F
523,23,M
3325,34,M
21043,25,M
16164,23,M
16437,25,M
12326,48,M
16252,45,M
15320,29,M
15460,30,M
20171,26,M
15304,33,M
3515,23,M
7714,41,M
13150,46,M
13164,20,F
5230,24,M
11520,39,M
3614,46,M
11366,34,M
13274,25,M
15136,43,M
1270,60,M
21054,25,F
21057,17,F
10434,29,M
16070,34,M
1760,30,M
5407,30,F
5051,34,M
15144,24,M
15045,30,M
11242,29,M
5657,40,M
13401,26,M
20540,32,F
4634,32,M
12471,24,F
10662,27,M
1510,34,M
15331,29,M
17030,40,M
10101,30,F
11011,33,F
10002,28,M
1661,26,M
1763,32,M
3710,26,F
16324,31,M
5646,29,M
13005,24,F
16522,27,M
16255,33,M
4752,30,M
2742,25,M
15155,28,M
17025,28,M
7326,39,F
6374,27,M
15100,37,M
3344,24,F
13266,32,M
1637,47,F
3116,37,M
6242,32,M
21112,68,M
13761,27,M
21101,27,M
21073,39,F
20117,34,F
5431,30,F
2616,26,M
14140,29,M
5324,28,F
2021,19,M
12642,39,M
16310,21,F
20612,47,M
5112,26,F
5120,34,M
12477,58,M
5065,26,F
5401,28,M
3077,25,F
12736,26,F
20615,46,M
12171,35,M
21107,24,M
4744,23,F
1722,30,M
3451,25,F
352,24,F
21076,29,M
13070,27,F
751,26,M
10613,42,M
7400,47,M
2627,44,M
17534,37,M
17275,60,M
6352,26,F
2445,27,M
4130,41,M
1565,29,F
5742,23,F
2632,31,F
21167,33,M
5217,24,M
17333,28,F
21046,35,M
13461,70,M
10610,34,M
15257,22,M
2376,34,M
2412,31,F
14617,38,M
1502,22,M
11371,48,M
15755,28,M
20221,23,M
15505,29,M
7661,29,M
11454,38,M
11674,29,M
15430,40,M
5225,28,M
10453,30,M
13517,29,M
5673,29,M
16627,39,M
2150,25,M
17374,26,F
20235,35,M
4623,32,M
13726,42,M
16316,35,F
3754,47,M
1144,40,M
11531,27,F
21230,33,M
11135,47,M
16407,28,M
7706,35,M
14702,56,M
10021,28,M
1612,28,M
3416,28,F
21244,26,M
3751,18,M
16750,34,M
10574,32,F
20320,46,M
21266,29,M
13263,29,F
12320,29,F
5233,46,M
21274,33,M
15273,41,M
12463,23,M
21214,33,M
16370,19,M
20417,35,M
7037,43,M
21016,50,M
17303,39,M
14226,36,M
7777,31,M
1141,32,M
11440,32,M
15125,46,M
14647,34,M
3702,34,F
6110,20,F
21115,31,M
2032,32,M
5013,21,M
6074,25,F
10316,18,M
21247,27,M
14110,30,M
14105,30,F
14413,24,F
16354,23,M
21241,20,F
13610,30,M
13222,28,M
16533,25,M
15312,30,M
21260,33,M
15554,21,F
14462,28,M
7510,30,F
2164,37,M
333,32,M
16742,32,M
7524,39,F
16134,32,M
16563,28,M
7262,35,M
10632,29,M
5423,23,M
17405,34,M
11435,44,M
457,31,M
12147,64,M
21120,34,M
15114,42,M
2707,25,M
7270,35,M
2506,40,F
21332,56,M
12557,32,M
17220,41,M
4114,51,M
7771,29,M
5316,17,M
7576,34,M
12714,50,M
12722,34,M
2767,22,M
1004,33,M
5274,52,M
14344,43,M
11267,25,M
14421,53,M
5073,33,M
11226,26,F
12224,27,M
11537,26,F
12422,52,M
10167,47,M
11770,34,M
1160,66,M
16073,27,M
3261,34,M
7623,59,M
12466,27,F
16734,54,F
11071,54,F
14272,38,M
520,27,M
2046,26,M
13635,48,M
102,33,M
7004,38,M
14336,38,M
12301,25,M
374,26,M
21365,52,M
21175,33,M
11363,19,M
16305,40,M
11264,50,M
15232,50,M
770,61,M
21357,40,M
16670,31,M
17110,34,M
17732,21,M
17344,22,F
21324,30,M
21420,42,M
11561,39,F
21343,28,M
21255,45,M
12634,20,F
21401,22,M
11545,27,F
20474,32,M
21442,33,F
20502,40,M
20543,47,M
1031,29,M
