Date,Count
2017-09-14,9833
2017-09-15,8668
2017-09-16,3697
2017-09-17,4222
2017-09-18,9012
2017-09-19,9672
2017-09-20,9511
2017-09-21,9380
2017-09-22,8777
2017-09-23,5452
2017-09-24,4261
2017-09-25,8792
2017-09-26,10073
2017-09-27,9652
2017-09-28,8460
2017-09-29,8929
2017-09-30,5289
2017-10-01,4106
2017-10-02,9080
2017-10-03,10274
2017-10-04,10103
2017-10-05,10257
2017-10-06,9442
2017-10-07,6327
2017-10-08,4974
2017-10-09,9881
2017-10-10,9679
2017-10-11,10164
2017-10-12,7398
2017-10-13,9649
2017-10-14,5905
2017-10-15,4803
2017-10-16,9997
2017-10-17,10299
2017-10-18,10174
2017-10-19,10155
2017-10-20,9654
2017-10-21,5737
2017-10-22,4726
2017-10-23,10261
2017-10-24,10324
2017-10-25,10435
2017-10-26,10226
2017-10-27,9554
2017-10-28,5869
2017-10-29,4619
2017-10-30,10234
2017-10-31,10647
2017-11-01,10365
2017-11-02,7796
2017-11-03,9488
2017-11-04,6047
2017-11-05,5003
2017-11-06,10045
2017-11-07,10578
2017-11-08,10472
2017-11-09,10196
2017-11-10,10434
2017-11-11,5993
2017-11-12,4965
2017-11-13,10203
2017-11-14,10586
2017-11-15,10489
2017-11-16,10252
2017-11-17,9770
2017-11-18,5436
2017-11-19,4172
2017-11-20,4434
2017-11-21,10205
2017-11-22,10289
2017-11-23,9747
2017-11-24,9503
2017-11-25,6059
2017-11-26,4704
2017-11-27,9475
2017-11-28,9918
2017-11-29,10093
2017-11-30,9944
2017-12-01,9179
2017-12-02,5786
2017-12-03,4745
2017-12-04,9161
2017-12-05,9807
2017-12-06,9672
2017-12-07,9460
2017-12-08,8364
2017-12-09,5160
2017-12-10,3911
2017-12-11,8099
2017-12-12,8282
2017-12-13,8789
2017-12-14,8518
2017-12-15,7887
2017-12-16,2502
2017-12-17,3834
2017-12-18,7842
2017-12-19,8083
2017-12-20,8112
2017-12-21,7325
2017-12-22,7054
2017-12-23,4334
2017-12-24,2945
2017-12-25,1819
2017-12-26,5170
2017-12-27,5509
2017-12-28,5491
2017-12-29,5194
2017-12-30,3595
2017-12-31,2817
2018-01-01,1663
2018-01-02,6295
2018-01-03,7431
2018-01-04,7746
2018-01-05,7629
2018-01-06,5230
2018-01-07,4527
2018-01-08,8921
2018-01-09,9358
2018-01-10,9354
2018-01-11,9264
2018-01-12,9253
2018-01-13,5708
2018-01-14,4796
2018-01-15,9516
2018-01-16,10280
2018-01-17,10235
2018-01-18,10104
2018-01-19,9760
2018-01-20,6054
2018-01-21,4958
2018-01-22,10093
2018-01-23,10245
2018-01-24,10098
2018-01-25,9283
2018-01-26,9736
2018-01-27,5751
2018-01-28,4801
2018-01-29,9722
2018-01-30,9946
2018-01-31,9997
2018-02-01,10005
2018-02-02,10080
2018-02-03,6025
2018-02-04,4624
2018-02-05,4917
2018-02-06,10743
2018-02-07,11115
2018-02-08,9008
2018-02-09,8884
2018-02-10,6428
2018-02-11,5259
2018-02-12,10629
2018-02-13,11313
2018-02-14,11194
2018-02-15,11269
2018-02-16,10776
2018-02-17,6805
2018-02-18,5594
2018-02-19,10246
2018-02-20,11182
2018-02-21,11496
2018-02-22,11508
2018-02-23,10457
2018-02-24,6708
2018-02-25,5521
2018-02-26,11045
2018-02-27,11556
2018-02-28,11800
2018-03-01,12292
2018-03-02,11380
2018-03-03,7003
2018-03-04,5598
2018-03-05,11421
2018-03-06,12000
2018-03-07,11970
2018-03-08,11792
2018-03-09,11051
2018-03-10,7166
2018-03-11,5834
2018-03-12,11165
2018-03-13,11824
2018-03-14,11677
2018-03-15,11720
2018-03-16,11354
2018-03-17,6402
2018-03-18,5235
2018-03-19,5352
2018-03-20,11562
2018-03-21,12282
2018-03-22,12269
2018-03-23,11181
2018-03-24,7322
2018-03-25,5560
2018-03-26,8959
2018-03-27,9165
2018-03-28,8867
2018-03-29,5205
2018-03-30,3926
2018-03-31,4016
2018-04-01,4543
2018-04-02,9342
2018-04-03,9275
2018-04-04,9409
2018-04-05,9463
2018-04-06,9243
2018-04-07,5966
2018-04-08,5155
2018-04-09,11390
2018-04-10,11903
2018-04-11,11366
2018-04-12,11231
2018-04-13,11232
2018-04-14,6720
2018-04-15,5611
2018-04-16,11704
2018-04-17,12053
2018-04-18,11881
2018-04-19,11439
2018-04-20,11218
2018-04-21,6743
2018-04-22,5669
2018-04-23,11686
2018-04-24,12029
2018-04-25,11961
2018-04-26,11765
2018-04-27,10709
2018-04-28,6639
2018-04-29,5236
2018-04-30,11025
2018-05-01,5358
2018-05-02,11421
2018-05-03,11622
2018-05-04,11119
2018-05-05,6057
2018-05-06,5675
2018-05-07,10997
2018-05-08,11934
2018-05-09,12229
2018-05-10,9960
2018-05-11,11421
2018-05-12,6815
2018-05-13,5679
2018-05-14,11084
2018-05-15,10802
2018-05-16,12031
2018-05-17,11749
2018-05-18,11158
2018-05-19,6645
2018-05-20,5245
2018-05-21,11093
2018-05-22,11460
2018-05-23,11722
2018-05-24,11196
2018-05-25,10671
2018-05-26,6757
2018-05-27,5296
2018-05-28,10729
2018-05-29,11088
2018-05-30,10862
2018-05-31,10736
2018-06-01,10373
2018-06-02,6786
2018-06-03,4954
2018-06-04,10185
2018-06-05,11116
2018-06-06,10553
2018-06-07,9712
2018-06-08,10316
2018-06-09,5714
2018-06-10,4859
2018-06-11,10492
2018-06-12,10629
2018-06-13,9528
2018-06-14,10825
